Region,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 Sports Male,G11 Sports Female,G11 Arts Male,G11 Arts Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 Sports Male,G12 Sports Female,G12 Arts Male,G12 Arts Female
Region I,51362,47897,45996,40374,56529,53289,54292,49735,44437,40355,49742,46502,52971,49154,1620,1041,55654,50957,56540,51512,56011,52414,50560,50912,51,26,2154,6264,10689,11567,7113,8581,8847,8330,57,3,17026,12247,0,0,83,42,2133,6450,8259,9333,6590,7304,7744,7378,174,8,16273,12350,0,0,146,114
Region II,39083,36163,34871,30197,42670,40311,40021,37160,32833,29856,36342,34025,38537,36250,896,576,39534,36985,38132,35942,36992,36483,32330,33427,11,17,1389,3765,9011,9489,4855,6531,6109,6087,34,5,7849,5494,121,57,78,57,1484,3821,7064,7640,4454,5625,4848,5090,92,2,7664,6045,145,95,85,93
Region III,112805,105468,110494,97026,129776,123024,123221,114611,102284,94072,112317,106070,117152,111315,3873,2320,117446,113439,118539,114009,114429,113656,103352,107324,96,79,8664,19861,21028,26201,18203,18051,15383,14368,233,27,29000,21075,102,50,187,187,8505,19129,16365,21617,16157,15037,12500,11834,294,18,29288,21129,87,44,194,182
Region IV-A,144238,135306,145801,130083,167717,159177,161224,150599,132911,122164,141031,134282,152657,146244,5771,3296,150145,143934,153517,147888,153342,151504,136363,140995,319,205,12504,28505,31703,35990,25958,24696,7721,7407,242,26,34847,25249,191,98,371,417,11810,27100,24623,30500,23109,20779,8246,7820,299,31,35006,25293,230,106,437,554
Region IV-B - MIMAROPA,38522,35740,38307,33186,41487,38195,38845,36025,32916,30363,36004,33752,36338,34716,950,672,35168,33553,35446,33856,35479,34717,31588,33665,13,12,1317,3465,6701,7891,3503,3730,6593,7706,148,20,8403,6248,96,30,102,84,1214,3172,4592,5716,2791,3043,5584,6713,259,33,8428,6911,101,66,119,116
Region V,67026,61162,73670,63667,76000,69514,74014,68391,62881,56385,67743,63169,67858,63561,1241,809,63697,60428,68727,64749,72115,71011,61067,66612,57,28,2002,5610,4877,7134,4498,5273,19489,24745,114,7,17848,13722,99,37,264,251,1927,5611,4118,6417,4472,4957,14424,19503,207,22,18705,14695,112,69,270,327
Region VI,80092,74808,77592,68230,88656,82175,86654,79764,72161,65226,80566,74978,83502,77650,2898,1908,88579,81075,92811,84052,95209,90108,77465,80782,28,24,2889,8602,15922,22321,7910,9998,9015,9335,774,16,29407,21151,63,26,146,175,2946,8913,12382,18392,7264,9122,7853,8227,1684,28,26445,20246,103,52,173,205
Region VII,82368,76849,82078,72862,88682,82479,87115,80633,69507,63618,79792,74206,84529,79789,2245,1364,82234,76365,83092,79190,86392,87422,72075,78917,30,5,3127,8567,10220,16700,9874,10228,15845,17419,531,20,23367,17289,112,70,221,234,2991,8580,8231,14267,9326,9482,12729,14215,950,45,23404,18178,76,67,274,308
Region VIII,53778,49080,51131,44618,56579,53001,54843,50948,46744,42175,49531,46291,50119,46942,832,537,54680,49817,54429,49692,52934,52293,46278,50328,0,0,1728,4308,9309,12546,3703,4502,9505,11494,0,0,15344,12193,65,61,23,27,1647,4102,7130,9909,3139,3479,7852,9746,0,0,15247,12361,54,51,37,58
Region IX,42130,38512,45776,40734,47157,43820,45316,42467,38876,36120,39861,37907,41460,39748,1781,1146,43769,40863,44036,42320,43447,45172,34501,39505,10,23,1132,2872,6853,10828,3249,4527,3167,3755,0,0,14022,11693,42,19,44,50,1029,2715,4664,7702,2891,4023,2190,2656,0,0,13018,11062,29,16,76,80
Region X,54710,50289,56509,50439,61632,57501,57175,53426,49995,46281,52835,49479,54415,51195,1679,1056,52175,49697,52617,51455,50951,51893,43053,47837,76,47,2083,5547,8168,12338,4957,6043,6510,8271,68,4,13980,9295,55,37,45,37,2061,5340,5981,9222,4304,5147,5096,6447,318,12,13389,9580,103,81,72,84
Region XI,52226,48619,54241,48361,58877,55427,56903,53596,45764,41659,53134,50610,54812,53114,2010,1228,51225,49092,54933,53148,53244,55570,44241,49843,8,10,1775,4461,6666,10118,4030,5071,6851,9427,58,4,17119,13410,6,1,51,55,1760,4442,5617,8816,3499,4523,4580,6328,141,11,15863,12577,4,2,65,105
Region XII,51495,48800,52703,47886,59327,56003,55891,52028,46687,43657,50830,48656,53854,51324,909,561,52029,50357,51763,51023,49299,51905,41287,46737,50,24,1622,4274,12882,18985,4417,5912,1815,2399,16,0,14412,9120,83,21,124,149,1530,4079,10027,14914,3993,5164,1680,2120,25,0,13816,9103,119,87,91,130
CARAGA,32679,30523,32747,28502,36346,33806,33856,31280,29217,26505,32125,29827,32250,30763,908,612,32366,30177,32111,30278,31733,31074,28298,29611,15,15,890,2174,4175,5718,2564,3473,6273,7660,73,6,10283,7347,15,2,83,93,960,2210,3003,4463,2149,2684,4561,5548,122,10,9882,7281,30,24,76,95
BARMM,47135,46965,49912,48604,47070,46415,43305,42552,39695,39824,36639,37676,33567,36474,135,92,26704,30697,25462,30007,22775,28749,19167,24787,0,0,778,961,3034,3698,1583,2817,5921,8508,0,0,4342,4444,35,15,13,8,641,1036,2439,3150,1365,2401,4289,6362,0,0,3686,4286,29,21,35,17
CAR,17849,16460,16708,14657,19746,18451,18083,16732,15892,14313,17530,16101,18083,17225,405,208,18422,16736,18494,17176,17678,17477,15741,16859,12,9,732,1816,5007,5813,2727,3937,1785,1919,19,2,4430,2973,47,38,35,51,713,1870,3999,4893,2713,3670,1529,1710,33,4,3960,2924,70,29,33,40
NCR,94017,90093,104007,95460,113914,107609,111706,104923,97940,92108,103886,99772,109476,106315,6446,3183,110367,106745,111201,108774,108042,108881,98932,104663,248,150,13224,25786,18778,23421,23196,21850,8491,8023,110,9,25618,19015,369,171,764,"1,158",12788,25536,15955,21934,21282,18937,7864,7885,329,9,26409,20090,440,213,830,"1,278"
PSO,653,733,938,856,927,911,970,976,910,917,927,832,861,820,0,0,832,795,831,765,764,695,775,701,0,0,71,73,26,54,364,279,27,19,0,0,0,0,0,0,1,2,51,71,24,33,317,263,24,19,0,0,0,0,0,0,2,1
